gene1	gene2	protein1	protein2	identity	chr1	chr2	distance	type	chr1_name	chr2_name
LOC110904925	LOC110930503	XP_022006482.1	XP_022029508.1	89.547	NC_035446.2	NC_035435.2		segmental	Ha14	Ha3
LOC110904925	LOC110868884	XP_022006482.1	XP_021973843.1	75.29	NC_035446.2	NC_035446.2	7004250.0	segmental	Ha14	Ha14
LOC110904925	LOC110908794	XP_022006482.1	XP_022009469.1	75.29	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110904925	LOC110890906	XP_022006482.1	XP_035835925.1	73.408	NC_035446.2	NC_035443.2		segmental	Ha14	Ha11
LOC110906934	LOC110904457	XP_022007682.2	XP_022005993.1	77.686	NC_035434.2	NC_035446.2		segmental	Ha2	Ha14
LOC110906934	LOC110904450	XP_022007682.2	XP_022005989.1	77.273	NC_035434.2	NC_035446.2		segmental	Ha2	Ha14
LOC110906934	LOC110904451	XP_022007682.2	XP_022005990.1	76.86	NC_035434.2	NC_035446.2		segmental	Ha2	Ha14
LOC110906934	LOC110868323	XP_022007682.2	XP_021973148.1	76.033	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110868318	XP_022007682.2	XP_021973145.1	76.033	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110868358	XP_022007682.2	XP_021973181.1	75.62	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110866810	XP_022007682.2	XP_021971649.1	75.62	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110868335	XP_022007682.2	XP_021973155.1	75.62	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110868317	XP_022007682.2	XP_021973144.1	75.62	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110868334	XP_022007682.2	XP_021973154.1	75.207	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110906934	LOC110890906	XP_022007682.2	XP_035835925.1	74.38	NC_035434.2	NC_035443.2		segmental	Ha2	Ha11
LOC110908794	LOC110908807	XP_022009469.1	XP_035831160.1	90.459	NC_035439.2	NC_035439.2	44790.0	tandem	Ha7	Ha7
LOC110908794	LOC110904457	XP_022009469.1	XP_022005993.1	85.211	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908794	LOC110904450	XP_022009469.1	XP_022005989.1	85.211	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908794	LOC110904451	XP_022009469.1	XP_022005990.1	84.859	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908794	LOC110868358	XP_022009469.1	XP_021973181.1	85.211	NC_035439.2	NC_035439.2	8773038.0	segmental	Ha7	Ha7
LOC110908794	LOC110868334	XP_022009469.1	XP_021973154.1	85.211	NC_035439.2	NC_035439.2	9194365.0	segmental	Ha7	Ha7
LOC110911761	LOC110933853	XP_022012102.1	XP_022032747.1	76.119	NC_035447.2	NC_035436.2		segmental	Ha15	Ha4
LOC110912639	LOC110937771	XP_022013098.1	XP_022035921.1	91.829	NC_035447.2	NC_035448.2		segmental	Ha15	Ha16
LOC110916097	LOC110916291	XP_022016546.1	XP_022016725.1	92.245	NC_035448.2	NC_035448.2	35128.0	tandem	Ha16	Ha16
LOC110916097	LOC110930648	XP_022016546.1	XP_022029689.1	87.6	NC_035448.2	NC_035435.2		segmental	Ha16	Ha3
LOC110916291	LOC110930648	XP_022016725.1	XP_022029689.1	86.122	NC_035448.2	NC_035435.2		segmental	Ha16	Ha3
LOC110921506	LOC110926365	XP_022021536.1	XP_022025807.1	89.818	NC_035449.2	NC_035449.2	13959.0	tandem	Ha17	Ha17
LOC110923014	LOC110937325	XP_022022901.1	XP_022035417.1	97.561	NC_035449.2	NC_035434.2		segmental	Ha17	Ha2
LOC110923014	LOC110930503	XP_022022901.1	XP_022029508.1	94.774	NC_035449.2	NC_035435.2		segmental	Ha17	Ha3
LOC110923014	LOC110868884	XP_022022901.1	XP_021973843.1	77.22	NC_035449.2	NC_035446.2		segmental	Ha17	Ha14
LOC110923014	LOC110890906	XP_022022901.1	XP_035835925.1	73.432	NC_035449.2	NC_035443.2		segmental	Ha17	Ha11
LOC110925968	LOC110875557	XP_022025446.1	XP_021979449.1	86.081	NC_035449.2	NC_035433.2		segmental	Ha17	Ha1
LOC110925968	LOC110890906	XP_022025446.1	XP_035835925.1	85.714	NC_035449.2	NC_035443.2		segmental	Ha17	Ha11
LOC110925968	LOC110904303	XP_022025446.1	XP_022005838.1	83.333	NC_035449.2	NC_035446.2		segmental	Ha17	Ha14
LOC110925968	LOC110908794	XP_022025446.1	XP_022009469.1	81.915	NC_035449.2	NC_035439.2		segmental	Ha17	Ha7
LOC110925968	LOC110868884	XP_022025446.1	XP_021973843.1	81.56	NC_035449.2	NC_035446.2		segmental	Ha17	Ha14
LOC110925968	LOC110894830	XP_022025446.1	XP_021997756.1	77.385	NC_035449.2	NC_035444.2		segmental	Ha17	Ha12
LOC110925968	LOC110904457	XP_022025446.1	XP_022005993.1	78.799	NC_035449.2	NC_035446.2		segmental	Ha17	Ha14
LOC110925968	LOC110904450	XP_022025446.1	XP_022005989.1	78.092	NC_035449.2	NC_035446.2		segmental	Ha17	Ha14
LOC110925968	LOC110908807	XP_022025446.1	XP_035831160.1	77.305	NC_035449.2	NC_035439.2		segmental	Ha17	Ha7
LOC110927047	LOC110939970	XP_022026331.1	XP_022037229.1	74.429	NC_035434.2	NC_035437.2		segmental	Ha2	Ha5
LOC110927047	LOC110896719	XP_022026331.1	XP_021999580.1	71.429	NC_035434.2	NC_035444.2		segmental	Ha2	Ha12
LOC110930503	LOC110937325	XP_022029508.1	XP_022035417.1	95.819	NC_035435.2	NC_035434.2		segmental	Ha3	Ha2
LOC110930503	LOC110895309	XP_022029508.1	XP_021998290.1	72.593	NC_035435.2	NC_035444.2		segmental	Ha3	Ha12
LOC110930503	LOC110868884	XP_022029508.1	XP_021973843.1	76.062	NC_035435.2	NC_035446.2		segmental	Ha3	Ha14
LOC110930503	LOC110925968	XP_022029508.1	XP_022025446.1	71.852	NC_035435.2	NC_035449.2		segmental	Ha3	Ha17
LOC110930503	LOC110890906	XP_022029508.1	XP_035835925.1	73.063	NC_035435.2	NC_035443.2		segmental	Ha3	Ha11
LOC110937325	LOC110868884	XP_022035417.1	XP_021973843.1	76.448	NC_035434.2	NC_035446.2		segmental	Ha2	Ha14
LOC110937325	LOC110895309	XP_022035417.1	XP_021998290.1	72.593	NC_035434.2	NC_035444.2		segmental	Ha2	Ha12
LOC110937325	LOC110904451	XP_022035417.1	XP_022005990.1	74.806	NC_035434.2	NC_035446.2		segmental	Ha2	Ha14
LOC110937325	LOC110890906	XP_022035417.1	XP_035835925.1	73.063	NC_035434.2	NC_035443.2		segmental	Ha2	Ha11
LOC110908807	LOC110868884	XP_035831160.1	XP_021973843.1	83.333	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908807	LOC110868334	XP_035831160.1	XP_021973154.1	82.746	NC_035439.2	NC_035439.2	9239155.0	segmental	Ha7	Ha7
LOC110908807	LOC110904457	XP_035831160.1	XP_022005993.1	82.042	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908807	LOC110868335	XP_035831160.1	XP_021973155.1	82.746	NC_035439.2	NC_035439.2	9207252.0	segmental	Ha7	Ha7
LOC110908807	LOC110904450	XP_035831160.1	XP_022005989.1	82.042	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110908807	LOC110868317	XP_035831160.1	XP_021973144.1	82.746	NC_035439.2	NC_035439.2	8932431.0	segmental	Ha7	Ha7
LOC110892775	LOC110868884	XP_035837035.1	XP_021973843.1	81.818	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110892775	LOC110868358	XP_035837035.1	XP_021973181.1	76.761	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110868323	XP_035837035.1	XP_021973148.1	78.136	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110868318	XP_035837035.1	XP_021973145.1	78.136	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110904457	XP_035837035.1	XP_022005993.1	76.761	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110892775	LOC110868335	XP_035837035.1	XP_021973155.1	76.761	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110904450	XP_035837035.1	XP_022005989.1	76.056	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110892775	LOC110868317	XP_035837035.1	XP_021973144.1	76.761	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110868334	XP_035837035.1	XP_021973154.1	76.408	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110904451	XP_035837035.1	XP_022005990.1	76.408	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110892775	LOC110904303	XP_035837035.1	XP_022005838.1	76.678	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110892775	LOC110866810	XP_035837035.1	XP_021971649.1	77.061	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110892775	LOC110890906	XP_035837035.1	XP_035835925.1	74.394	NC_035444.2	NC_035443.2		segmental	Ha12	Ha11
