gene1	gene2	protein1	protein2	identity	Ka	Ks	Ka_Ks	selection
LOC110894830	LOC110868335	XP_021997756.1	XP_021973155.1	82.746	1.9401	1.5865	1.2229	positive
LOC110894830	LOC110904450	XP_021997756.1	XP_022005989.1	82.394	1.9536	1.7369	1.1248	positive
LOC110894830	LOC110904451	XP_021997756.1	XP_022005990.1	82.746	2.0962	1.591	1.3175	positive
LOC110894830	LOC110904303	XP_021997756.1	XP_022005838.1	83.392	1.1746	4.5004	0.261	purifying
LOC110894830	LOC110868317	XP_021997756.1	XP_021973144.1	82.746	2.0573	1.2246	1.68	positive
LOC110894830	LOC110868334	XP_021997756.1	XP_021973154.1	82.394	2.0162	1.3877	1.4529	positive
LOC110894830	LOC110866810	XP_021997756.1	XP_021971649.1	82.979	2.9933	2.3085	1.2966	positive
LOC110894830	LOC110889695	XP_021997756.1	XP_021992949.1	83.275	2.7446	2.0868	1.3152	positive
LOC110894830	LOC110890906	XP_021997756.1	XP_035835925.1	80.623	3.0702	2.0498	1.4978	positive
LOC110894830	LOC110890906	XP_021997756.1	XP_035835924.1	80.623	3.0702	2.0498	1.4978	positive
LOC110894830	LOC110890906	XP_021997756.1	XP_035835923.1	80.623	3.0702	2.0498	1.4978	positive
LOC110894830	LOC110890906	XP_021997756.1	XP_035835922.1	80.623	3.0702	2.0498	1.4978	positive
LOC110894830	LOC110890906	XP_021997756.1	XP_035835921.1	80.623	3.0702	2.0498	1.4978	positive
LOC110895309	LOC110925968	XP_021998290.1	XP_022025446.1	92.115	0.044	0.7882	0.0558	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835925.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835924.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835923.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835922.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835921.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835920.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835918.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835917.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_035835916.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110890906	XP_021998290.1	XP_021994243.1	85.348	3.0777	3.2909	0.9352	purifying
LOC110895309	LOC110875557	XP_021998290.1	XP_021979449.1	84.982				neutral/NA
LOC110895309	LOC110904303	XP_021998290.1	XP_022005838.1	81.56	1.215	2.3616	0.5145	purifying
LOC110895309	LOC110908794	XP_021998290.1	XP_022009469.1	80.851				neutral/NA
LOC110895309	LOC110868884	XP_021998290.1	XP_021973843.1	81.206	1.2328	2.9489	0.4181	purifying
LOC110895309	LOC110904457	XP_021998290.1	XP_022005993.1	80.952	2.6796	2.6579	1.0082	positive
LOC110895309	LOC110894830	XP_021998290.1	XP_021997756.1	77.385	1.1732	3.1609	0.3711	purifying
LOC110895309	LOC110904450	XP_021998290.1	XP_022005989.1	80.22	2.587	4.1186	0.6281	purifying
LOC110895309	LOC110868335	XP_021998290.1	XP_021973155.1	77.465				neutral/NA
LOC110896719	LOC110939970	XP_021999580.1	XP_022037229.1	70.635	0.2127	1.8338	0.116	purifying
LOC110897890	LOC110899592	XP_022000317.1	XP_022002168.1	97.909	0.0185	0.5309	0.0349	purifying
LOC110897890	LOC110899589	XP_022000317.1	XP_022002167.1	97.909	0.0185	0.5309	0.0349	purifying
LOC110897890	LOC110923014	XP_022000317.1	XP_022022901.1	97.561	0.0264	0.6203	0.0426	purifying
LOC110897890	LOC110937325	XP_022000317.1	XP_022035417.1	96.516	0.0233	0.3771	0.0617	purifying
LOC110897890	LOC110930503	XP_022000317.1	XP_022029508.1	95.47	0.0344	0.5955	0.0578	purifying
LOC110897890	LOC110904925	XP_022000317.1	XP_022006482.1	89.895	1.7116	2.0083	0.8523	purifying
LOC110897890	LOC110868884	XP_022000317.1	XP_021973843.1	76.448				neutral/NA
LOC110897890	LOC110895309	XP_022000317.1	XP_021998290.1	72.593	2.9348	2.1007	1.3971	positive
LOC110897890	LOC110890906	XP_022000317.1	XP_035835925.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835924.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835923.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835922.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835921.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835920.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835918.1	73.063				neutral/NA
LOC110897890	LOC110890906	XP_022000317.1	XP_035835917.1	73.063				neutral/NA
LOC110898014	LOC110927047	XP_022000445.1	XP_022026331.1	84.19	0.0821	0.9642	0.0852	purifying
LOC110899589	LOC110899592	XP_022002167.1	XP_022002168.1	100.0				neutral/NA
LOC110899589	LOC110930503	XP_022002167.1	XP_022029508.1	96.864	0.0217	0.3612	0.06	purifying
LOC110899589	LOC110937325	XP_022002167.1	XP_022035417.1	96.516	0.0264	0.6044	0.0436	purifying
LOC110899589	LOC110923014	XP_022002167.1	XP_022022901.1	96.167	0.028	0.6712	0.0417	purifying
LOC110899589	LOC110904925	XP_022002167.1	XP_022006482.1	90.244	1.6449	2.2293	0.7378	purifying
LOC110899589	LOC110868884	XP_022002167.1	XP_021973843.1	76.062				neutral/NA
LOC110899589	LOC110895309	XP_022002167.1	XP_021998290.1	72.593	3.1387	2.2543	1.3923	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835925.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835924.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835923.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835922.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835921.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835920.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835918.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899589	LOC110890906	XP_022002167.1	XP_035835917.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110930503	XP_022002168.1	XP_022029508.1	96.864	0.0217	0.3612	0.06	purifying
LOC110899592	LOC110937325	XP_022002168.1	XP_022035417.1	96.516	0.0264	0.6044	0.0436	purifying
LOC110899592	LOC110923014	XP_022002168.1	XP_022022901.1	96.167	0.028	0.6712	0.0417	purifying
LOC110899592	LOC110904925	XP_022002168.1	XP_022006482.1	90.244	1.6449	2.2293	0.7378	purifying
LOC110899592	LOC110868884	XP_022002168.1	XP_021973843.1	76.062				neutral/NA
LOC110899592	LOC110895309	XP_022002168.1	XP_021998290.1	72.593	3.1387	2.2543	1.3923	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835925.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835924.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835923.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835922.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835921.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835920.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835918.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899592	LOC110890906	XP_022002168.1	XP_035835917.1	72.694	2.2594	2.2592	1.0001	positive
LOC110899653	LOC110899667	XP_022002235.1	XP_022002249.1	99.2	0.0036	0.0648	0.0555	purifying
LOC110899653	LOC110899655	XP_022002235.1	XP_022002237.1	98.0	0.0072	0.4604	0.0156	purifying
LOC110899653	LOC110899654	XP_022002235.1	XP_022002236.1	97.6	0.0108	0.4497	0.0241	purifying
LOC110899653	LOC110930648	XP_022002235.1	XP_022029689.1	93.2	0.0424	0.5083	0.0835	purifying
LOC110899653	LOC110916097	XP_022002235.1	XP_022016546.1	88.8	0.0756	0.8087	0.0935	purifying
LOC110899653	LOC110916291	XP_022002235.1	XP_022016725.1	87.347	0.0835	0.9921	0.0842	purifying
LOC110899654	LOC110899655	XP_022002236.1	XP_022002237.1	99.2	0.0036	0.0655	0.0548	purifying
LOC110899654	LOC110899667	XP_022002236.1	XP_022002249.1	96.8	0.0145	0.4024	0.036	purifying
LOC110899654	LOC110930648	XP_022002236.1	XP_022029689.1	92.0	0.0443	0.5101	0.0868	purifying
LOC110899654	LOC110916097	XP_022002236.1	XP_022016546.1	86.8	0.0815	0.9457	0.0862	purifying
LOC110899654	LOC110916291	XP_022002236.1	XP_022016725.1	86.475	0.0854	1.0638	0.0803	purifying
LOC110899655	LOC110899667	XP_022002237.1	XP_022002249.1	97.2	0.0127	0.4033	0.0314	purifying
LOC110899655	LOC110930648	XP_022002237.1	XP_022029689.1	92.0	0.0443	0.491	0.0901	purifying
LOC110899655	LOC110916097	XP_022002237.1	XP_022016546.1	87.2	0.0795	0.9132	0.0871	purifying
LOC110899655	LOC110916291	XP_022002237.1	XP_022016725.1	86.885	0.0833	1.005	0.0829	purifying
LOC110899667	LOC110930648	XP_022002249.1	XP_022029689.1	93.6	0.0387	0.4863	0.0795	purifying
LOC110899667	LOC110916097	XP_022002249.1	XP_022016546.1	88.8	0.0757	0.7754	0.0976	purifying
LOC110899667	LOC110916291	XP_022002249.1	XP_022016725.1	87.755	0.0795	0.9675	0.0821	purifying
LOC110904303	LOC110890906	XP_022005838.1	XP_035835925.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835924.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835923.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835922.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835921.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835920.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835918.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835917.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110890906	XP_022005838.1	XP_035835916.1	93.772	2.0829	1.7549	1.1869	positive
LOC110904303	LOC110908794	XP_022005838.1	XP_022009469.1	91.519	0.0578	0.5852	0.0988	purifying
LOC110904303	LOC110908807	XP_022005838.1	XP_035831160.1	88.339	0.0679	0.6513	0.1043	purifying
LOC110904303	LOC110904457	XP_022005838.1	XP_022005993.1	88.028	2.1859	2.8476	0.7676	purifying
LOC110904303	LOC110904450	XP_022005838.1	XP_022005989.1	88.028	2.1927	3.0373	0.7219	purifying
LOC110904303	LOC110904451	XP_022005838.1	XP_022005990.1	88.38	2.1711	2.4343	0.8919	purifying
LOC110904303	LOC110868358	XP_022005838.1	XP_021973181.1	86.972	2.2958	1.9645	1.1686	positive
LOC110904303	LOC110868335	XP_022005838.1	XP_021973155.1	86.62	2.3296	2.115	1.1014	positive
LOC110904450	LOC110904457	XP_022005989.1	XP_022005993.1	99.296	0.0046	0.1417	0.0326	purifying
LOC110904450	LOC110904451	XP_022005989.1	XP_022005990.1	97.887	0.0093	0.1533	0.0606	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835925.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835924.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835923.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835922.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835921.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835920.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835918.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835917.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904450	LOC110890906	XP_022005989.1	XP_035835916.1	86.851	1.9369	2.1053	0.92	purifying
LOC110904451	LOC110904457	XP_022005990.1	XP_022005993.1	97.887	0.0093	0.1296	0.0716	purifying
LOC110904451	LOC110890906	XP_022005990.1	XP_035835925.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835924.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835923.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835922.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835921.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835920.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835918.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835917.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904451	LOC110890906	XP_022005990.1	XP_035835916.1	86.505	1.9624	1.9413	1.0109	positive
LOC110904457	LOC110890906	XP_022005993.1	XP_035835925.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835924.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835923.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835922.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835921.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835920.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835918.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835917.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904457	LOC110890906	XP_022005993.1	XP_035835916.1	86.851	1.9737	2.3164	0.8521	purifying
LOC110904925	LOC110937325	XP_022006482.1	XP_022035417.1	92.683	1.5864	2.269	0.6992	purifying
LOC110904925	LOC110923014	XP_022006482.1	XP_022022901.1	90.941	1.615	2.3492	0.6875	purifying
LOC110904925	LOC110930503	XP_022006482.1	XP_022029508.1	89.547	1.676	2.8998	0.578	purifying
LOC110904925	LOC110868884	XP_022006482.1	XP_021973843.1	75.29	2.6224	2.269	1.1558	positive
LOC110904925	LOC110908794	XP_022006482.1	XP_022009469.1	75.29	2.226	2.5841	0.8614	purifying
LOC110904925	LOC110890906	XP_022006482.1	XP_035835925.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835924.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835923.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835922.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835921.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835920.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835918.1	73.408				neutral/NA
LOC110904925	LOC110890906	XP_022006482.1	XP_035835917.1	73.408				neutral/NA
LOC110906934	LOC110904457	XP_022007682.2	XP_022005993.1	77.686	2.1747	2.2947	0.9477	purifying
LOC110906934	LOC110904450	XP_022007682.2	XP_022005989.1	77.273	2.1673	2.0198	1.073	positive
LOC110906934	LOC110904451	XP_022007682.2	XP_022005990.1	76.86	2.171	2.0973	1.0352	positive
LOC110906934	LOC110868323	XP_022007682.2	XP_021973148.1	76.033				neutral/NA
LOC110906934	LOC110868318	XP_022007682.2	XP_021973145.1	76.033				neutral/NA
LOC110906934	LOC110868358	XP_022007682.2	XP_021973181.1	75.62	2.2921	2.9133	0.7868	purifying
LOC110906934	LOC110866810	XP_022007682.2	XP_021971649.1	75.62				neutral/NA
LOC110906934	LOC110868335	XP_022007682.2	XP_021973155.1	75.62	2.3296	3.2523	0.7163	purifying
LOC110906934	LOC110868317	XP_022007682.2	XP_021973144.1	75.62	2.2028	3.5801	0.6153	purifying
LOC110906934	LOC110868334	XP_022007682.2	XP_021973154.1	75.207				neutral/NA
LOC110906934	LOC110890906	XP_022007682.2	XP_035835925.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835924.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835923.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835922.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835921.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835920.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835918.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835917.1	74.38	3.9505	1.5883	2.4872	positive
LOC110906934	LOC110890906	XP_022007682.2	XP_035835916.1	74.38	3.9505	1.5883	2.4872	positive
LOC110908794	LOC110908807	XP_022009469.1	XP_035831160.1	90.459	0.0463	0.2558	0.181	purifying
LOC110908794	LOC110890906	XP_022009469.1	XP_035835925.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835924.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835923.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835922.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835921.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835920.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835918.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835917.1	88.927				neutral/NA
LOC110908794	LOC110890906	XP_022009469.1	XP_035835916.1	88.927				neutral/NA
LOC110908794	LOC110904457	XP_022009469.1	XP_022005993.1	85.211	2.0459	1.8993	1.0772	positive
LOC110908794	LOC110904450	XP_022009469.1	XP_022005989.1	85.211	2.0514	1.6731	1.2261	positive
LOC110908794	LOC110904451	XP_022009469.1	XP_022005990.1	84.859	2.0334	2.1604	0.9412	purifying
LOC110908794	LOC110868358	XP_022009469.1	XP_021973181.1	85.211	2.1358	1.9937	1.0713	positive
LOC110908794	LOC110868334	XP_022009469.1	XP_021973154.1	85.211	2.0976	2.538	0.8265	purifying
LOC110911761	LOC110933853	XP_022012102.1	XP_022032747.1	76.119				neutral/NA
LOC110912639	LOC110937771	XP_022013098.1	XP_022035921.1	91.829	0.0415	0.745	0.0557	purifying
LOC110916097	LOC110916291	XP_022016546.1	XP_022016725.1	92.245	0.0378	0.2732	0.1383	purifying
LOC110916097	LOC110930648	XP_022016546.1	XP_022029689.1	87.6	0.0716	1.0206	0.0702	purifying
LOC110916291	LOC110930648	XP_022016725.1	XP_022029689.1	86.122	0.0794	0.9958	0.0797	purifying
LOC110921506	LOC110926365	XP_022021536.1	XP_022025807.1	89.818	1.2133	1.5553	0.7801	purifying
LOC110923014	LOC110937325	XP_022022901.1	XP_022035417.1	97.561	0.0185	0.61	0.0304	purifying
LOC110923014	LOC110930503	XP_022022901.1	XP_022029508.1	94.774	0.036	0.6854	0.0526	purifying
LOC110923014	LOC110868884	XP_022022901.1	XP_021973843.1	77.22	2.5561	3.69	0.6927	purifying
LOC110923014	LOC110890906	XP_022022901.1	XP_035835925.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835924.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835923.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835922.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835921.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835920.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835918.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835917.1	73.432				neutral/NA
LOC110923014	LOC110890906	XP_022022901.1	XP_035835916.1	73.432				neutral/NA
LOC110925968	LOC110875557	XP_022025446.1	XP_021979449.1	86.081	2.2311	3.1111	0.7171	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835925.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835924.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835923.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835922.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835921.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835920.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835918.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835917.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_035835916.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110890906	XP_022025446.1	XP_021994243.1	85.714	2.338	2.7952	0.8364	purifying
LOC110925968	LOC110904303	XP_022025446.1	XP_022005838.1	83.333				neutral/NA
LOC110925968	LOC110908794	XP_022025446.1	XP_022009469.1	81.915				neutral/NA
LOC110925968	LOC110868884	XP_022025446.1	XP_021973843.1	81.56	1.2731	1.7532	0.7261	purifying
LOC110925968	LOC110894830	XP_022025446.1	XP_021997756.1	77.385	1.1792	2.5608	0.4605	purifying
LOC110925968	LOC110904457	XP_022025446.1	XP_022005993.1	78.799	2.9268	1.7776	1.6465	positive
LOC110925968	LOC110904450	XP_022025446.1	XP_022005989.1	78.092	2.8011	1.7153	1.633	positive
LOC110925968	LOC110908807	XP_022025446.1	XP_035831160.1	77.305				neutral/NA
LOC110927047	LOC110939970	XP_022026331.1	XP_022037229.1	74.429	2.5627	1.4055	1.8234	positive
LOC110927047	LOC110896719	XP_022026331.1	XP_021999580.1	71.429	2.6331	2.2596	1.1653	positive
LOC110930503	LOC110937325	XP_022029508.1	XP_022035417.1	95.819	0.0264	0.6403	0.0413	purifying
LOC110930503	LOC110895309	XP_022029508.1	XP_021998290.1	72.593	3.1764	3.3008	0.9623	purifying
LOC110930503	LOC110868884	XP_022029508.1	XP_021973843.1	76.062				neutral/NA
LOC110930503	LOC110925968	XP_022029508.1	XP_022025446.1	71.852				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835925.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835924.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835923.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835922.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835921.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835920.1	73.063				neutral/NA
LOC110930503	LOC110890906	XP_022029508.1	XP_035835918.1	73.063				neutral/NA
LOC110937325	LOC110868884	XP_022035417.1	XP_021973843.1	76.448				neutral/NA
LOC110937325	LOC110895309	XP_022035417.1	XP_021998290.1	72.593	2.9252	2.4092	1.2142	positive
LOC110937325	LOC110904451	XP_022035417.1	XP_022005990.1	74.806				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835925.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835924.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835923.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835922.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835921.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835920.1	73.063				neutral/NA
LOC110937325	LOC110890906	XP_022035417.1	XP_035835918.1	73.063				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835925.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835924.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835923.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835922.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835921.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835920.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835918.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835917.1	85.121				neutral/NA
LOC110908807	LOC110890906	XP_035831160.1	XP_035835916.1	85.121				neutral/NA
LOC110908807	LOC110868884	XP_035831160.1	XP_021973843.1	83.333	0.1209	1.7875	0.0676	purifying
LOC110908807	LOC110868334	XP_035831160.1	XP_021973154.1	82.746	2.2134	3.1161	0.7103	purifying
LOC110908807	LOC110904457	XP_035831160.1	XP_022005993.1	82.042	2.181	2.0957	1.0407	positive
LOC110908807	LOC110868335	XP_035831160.1	XP_021973155.1	82.746	2.2904	1.9774	1.1583	positive
LOC110908807	LOC110904450	XP_035831160.1	XP_022005989.1	82.042	2.1877	1.8134	1.2064	positive
LOC110908807	LOC110868317	XP_035831160.1	XP_021973144.1	82.746	2.2064	2.1924	1.0064	positive
LOC110890906	LOC110890906	XP_035835916.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835921.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835920.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835918.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835916.1	XP_035835917.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_035835917.1	XP_035835923.1	100.0				neutral/NA
