gene	motif_id	start	end	strand	pvalue
XP_022038870.1	motif_9	256	276	none	3.46e-14
XP_022021536.1	motif_9	247	267	none	9.49e-14
XP_022009396.1	motif_9	199	219	none	1.04e-13
XP_021976874.1	motif_9	245	265	none	1.04e-13
XP_022025807.1	motif_9	251	271	none	1.36e-13
XP_022007155.1	motif_9	208	228	none	1.48e-13
XP_035834143.1	motif_9	273	293	none	2.11e-13
XP_022014704.1	motif_9	223	243	none	7.65e-13
XP_035834144.1	motif_9	271	291	none	1.07e-12
XP_035835925.1	motif_10	77	87	none	8.28e-14
XP_035835924.1	motif_10	77	87	none	8.28e-14
XP_035835923.1	motif_10	77	87	none	8.28e-14
XP_035835922.1	motif_10	77	87	none	8.28e-14
XP_035835921.1	motif_10	77	87	none	8.28e-14
XP_035835920.1	motif_10	77	87	none	8.28e-14
XP_035835918.1	motif_10	77	87	none	8.28e-14
XP_035835917.1	motif_10	77	87	none	8.28e-14
XP_035835916.1	motif_10	77	87	none	8.28e-14
XP_035831160.1	motif_10	71	81	none	8.28e-14
XP_022009469.1	motif_10	71	81	none	8.28e-14
XP_022005993.1	motif_10	72	82	none	8.28e-14
XP_022005990.1	motif_10	72	82	none	8.28e-14
XP_022005989.1	motif_10	72	82	none	8.28e-14
XP_022005838.1	motif_10	71	81	none	8.28e-14
XP_021994243.1	motif_10	77	87	none	8.28e-14
XP_021992949.1	motif_10	70	80	none	8.28e-14
XP_021979449.1	motif_10	77	87	none	8.28e-14
XP_021973843.1	motif_10	71	81	none	8.28e-14
XP_021973181.1	motif_10	72	82	none	8.28e-14
XP_021973155.1	motif_10	72	82	none	8.28e-14
XP_021973154.1	motif_10	72	82	none	8.28e-14
XP_021973148.1	motif_10	72	82	none	8.28e-14
XP_021973145.1	motif_10	72	82	none	8.28e-14
XP_021973144.1	motif_10	72	82	none	8.28e-14
XP_021971649.1	motif_10	81	91	none	8.28e-14
XP_022035419.1	motif_10	80	90	none	1.05e-12
XP_022035417.1	motif_10	80	90	none	1.05e-12
XP_022029508.1	motif_10	80	90	none	1.05e-12
XP_022022901.1	motif_10	80	90	none	1.05e-12
XP_022006482.1	motif_10	81	91	none	1.05e-12
XP_022002168.1	motif_10	80	90	none	1.05e-12
XP_022002167.1	motif_10	80	90	none	1.05e-12
XP_022000317.1	motif_10	80	90	none	1.05e-12
XP_021973917.1	motif_10	81	91	none	1.05e-12
XP_021969157.1	motif_10	80	90	none	1.05e-12
XP_021969156.1	motif_10	80	90	none	1.05e-12
XP_022025446.1	motif_10	65	75	none	1.26e-12
XP_021998290.1	motif_10	65	75	none	6.77e-12
XP_021997756.1	motif_10	69	79	none	6.77e-12
XP_022007682.2	motif_10	40	50	none	1.97e-11
XP_035832764.1	motif_10	81	91	none	2.77e-10
XP_035837035.1	motif_10	69	79	none	2.34e-09
XP_022012102.1	motif_11	42	70	none	1.95e-26
XP_021979651.1	motif_11	42	70	none	2.70e-26
XP_022006941.1	motif_11	31	59	none	5.96e-26
XP_021972988.1	motif_11	31	59	none	2.62e-25
XP_021977943.1	motif_11	42	70	none	3.46e-25
XP_021987957.1	motif_11	38	66	none	3.98e-25
XP_021972990.2	motif_11	29	57	none	4.57e-25
XP_021994152.1	motif_11	29	57	none	1.02e-24
XP_021987955.1	motif_11	42	70	none	1.02e-24
XP_022012100.1	motif_11	37	65	none	1.52e-24
XP_022023717.1	motif_11	42	70	none	1.73e-24
XP_021989956.1	motif_11	43	71	none	4.71e-24
XP_022011398.1	motif_11	49	77	none	1.38e-23
XP_022032747.1	motif_11	41	69	none	3.09e-23
XP_022014304.1	motif_11	38	66	none	8.39e-23
XP_022025807.1	motif_11	72	100	none	1.04e-22
XP_022021536.1	motif_11	68	96	none	1.60e-22
XP_021976874.1	motif_11	66	94	none	5.01e-22
XP_022014704.1	motif_11	42	70	none	2.22e-21
XP_022021453.1	motif_11	41	69	none	1.91e-20
XP_021981655.1	motif_11	31	59	none	4.28e-20
XP_022038870.1	motif_11	77	105	none	6.09e-20
XP_035833123.1	motif_11	61	89	none	3.36e-19
XP_035833122.1	motif_11	61	89	none	3.36e-19
XP_035835925.1	motif_12	116	123	none	3.55e-10
XP_035835924.1	motif_12	116	123	none	3.55e-10
XP_035835923.1	motif_12	116	123	none	3.55e-10
XP_035835922.1	motif_12	116	123	none	3.55e-10
XP_035835921.1	motif_12	116	123	none	3.55e-10
XP_035835920.1	motif_12	116	123	none	3.55e-10
XP_035835918.1	motif_12	116	123	none	3.55e-10
XP_035835917.1	motif_12	116	123	none	3.55e-10
XP_035835916.1	motif_12	116	123	none	3.55e-10
XP_035831160.1	motif_12	110	117	none	3.55e-10
XP_022025446.1	motif_12	104	111	none	3.55e-10
XP_022009469.1	motif_12	110	117	none	3.55e-10
XP_022006482.1	motif_12	120	127	none	3.55e-10
XP_022005993.1	motif_12	111	118	none	3.55e-10
XP_022005990.1	motif_12	111	118	none	3.55e-10
XP_022005989.1	motif_12	111	118	none	3.55e-10
XP_022005838.1	motif_12	110	117	none	3.55e-10
XP_021998290.1	motif_12	104	111	none	3.55e-10
XP_021997756.1	motif_12	108	115	none	3.55e-10
XP_021994243.1	motif_12	116	123	none	3.55e-10
XP_021992949.1	motif_12	109	116	none	3.55e-10
XP_021979449.1	motif_12	116	123	none	3.55e-10
XP_021973917.1	motif_12	120	127	none	3.55e-10
XP_021973843.1	motif_12	110	117	none	3.55e-10
XP_021973181.1	motif_12	111	118	none	3.55e-10
XP_021973155.1	motif_12	111	118	none	3.55e-10
XP_021973154.1	motif_12	111	118	none	3.55e-10
XP_021973148.1	motif_12	111	118	none	3.55e-10
XP_021973145.1	motif_12	111	118	none	3.55e-10
XP_021973144.1	motif_12	111	118	none	3.55e-10
XP_021971649.1	motif_12	120	127	none	3.55e-10
XP_035837035.1	motif_12	108	115	none	8.56e-10
XP_022035419.1	motif_12	119	126	none	8.56e-10
XP_022035417.1	motif_12	119	126	none	8.56e-10
XP_022029508.1	motif_12	119	126	none	8.56e-10
XP_022022901.1	motif_12	119	126	none	8.56e-10
XP_022002168.1	motif_12	119	126	none	8.56e-10
XP_022002167.1	motif_12	119	126	none	8.56e-10
XP_022000317.1	motif_12	119	126	none	8.56e-10
XP_021969157.1	motif_12	119	126	none	8.56e-10
XP_021969156.1	motif_12	119	126	none	8.56e-10
XP_035832764.1	motif_12	120	127	none	1.28e-09
XP_022007682.2	motif_12	79	86	none	2.38e-08
XP_022035417.1	motif_13	1	21	none	3.19e-29
XP_022029508.1	motif_13	1	21	none	3.19e-29
XP_022002168.1	motif_13	1	21	none	3.19e-29
XP_022002167.1	motif_13	1	21	none	3.19e-29
XP_022006482.1	motif_13	1	21	none	4.57e-29
XP_022022901.1	motif_13	1	21	none	8.45e-29
XP_021969157.1	motif_13	1	21	none	8.45e-29
XP_021969156.1	motif_13	1	21	none	8.45e-29
XP_021973917.1	motif_13	1	21	none	1.27e-28
XP_022000317.1	motif_13	1	21	none	2.22e-28
XP_022035419.1	motif_13	1	21	none	7.23e-28
XP_035832764.1	motif_13	1	21	none	3.01e-16
XP_035835925.1	motif_14	1	11	none	2.52e-16
XP_035835924.1	motif_14	1	11	none	2.52e-16
XP_035835923.1	motif_14	1	11	none	2.52e-16
XP_035835922.1	motif_14	1	11	none	2.52e-16
XP_035835921.1	motif_14	1	11	none	2.52e-16
XP_035835920.1	motif_14	1	11	none	2.52e-16
XP_035835918.1	motif_14	1	11	none	2.52e-16
XP_035835917.1	motif_14	1	11	none	2.52e-16
XP_035835916.1	motif_14	1	11	none	2.52e-16
XP_021994243.1	motif_14	1	11	none	2.52e-16
XP_022005838.1	motif_14	1	11	none	3.56e-15
XP_021979449.1	motif_14	1	11	none	3.56e-15
XP_021973148.1	motif_14	1	11	none	3.17e-14
XP_021973145.1	motif_14	1	11	none	3.17e-14
XP_022009469.1	motif_14	1	11	none	1.49e-13
XP_021973181.1	motif_14	1	11	none	3.05e-13
XP_021973155.1	motif_14	1	11	none	3.05e-13
XP_021973154.1	motif_14	1	11	none	3.05e-13
XP_022005990.1	motif_14	1	11	none	3.86e-13
XP_022005993.1	motif_14	1	11	none	1.31e-12
XP_022005989.1	motif_14	1	11	none	1.31e-12
XP_021973144.1	motif_14	1	11	none	2.05e-12
XP_035831160.1	motif_14	1	11	none	4.37e-12
XP_021971649.1	motif_14	10	20	none	2.78e-11
XP_021973843.1	motif_14	1	11	none	6.67e-10
XP_021997756.1	motif_14	1	11	none	1.32e-09
XP_035837035.1	motif_14	1	11	none	1.61e-09
XP_035835925.1	motif_15	282	289	none	2.21e-10
XP_035835924.1	motif_15	282	289	none	2.21e-10
XP_035835923.1	motif_15	282	289	none	2.21e-10
XP_035835922.1	motif_15	282	289	none	2.21e-10
XP_035835921.1	motif_15	282	289	none	2.21e-10
XP_035835920.1	motif_15	282	289	none	2.21e-10
XP_035835918.1	motif_15	282	289	none	2.21e-10
XP_035835917.1	motif_15	282	289	none	2.21e-10
XP_035835916.1	motif_15	282	289	none	2.21e-10
XP_022009469.1	motif_15	276	283	none	2.21e-10
XP_022005993.1	motif_15	277	284	none	2.21e-10
XP_022005989.1	motif_15	277	284	none	2.21e-10
XP_022005838.1	motif_15	276	283	none	2.21e-10
XP_021994243.1	motif_15	282	289	none	2.21e-10
XP_021979449.1	motif_15	282	289	none	2.21e-10
XP_021973181.1	motif_15	277	284	none	2.21e-10
XP_021973155.1	motif_15	277	284	none	2.21e-10
XP_021973154.1	motif_15	277	284	none	2.21e-10
XP_021973144.1	motif_15	277	284	none	2.21e-10
XP_022025446.1	motif_15	270	277	none	3.09e-10
XP_021998290.1	motif_15	270	277	none	3.09e-10
XP_035831160.1	motif_15	276	283	none	9.26e-10
XP_022005990.1	motif_15	277	284	none	1.75e-09
XP_021997756.1	motif_15	274	281	none	1.16e-08
XP_021973843.1	motif_15	276	283	none	1.40e-08
XP_022002249.1	motif_16	120	140	none	5.78e-24
XP_022002237.1	motif_16	120	140	none	5.78e-24
XP_022002236.1	motif_16	120	140	none	5.78e-24
XP_022002235.1	motif_16	120	140	none	5.78e-24
XP_022016546.1	motif_16	120	140	none	1.19e-23
XP_022029689.1	motif_16	120	140	none	1.69e-22
XP_022016725.1	motif_16	120	140	none	2.93e-20
XP_035833912.1	motif_16	120	140	none	9.21e-20
XP_021984447.2	motif_16	120	140	none	3.51e-19
XP_021990076.1	motif_16	120	140	none	1.22e-18
XP_021997121.1	motif_16	120	140	none	3.97e-18
XP_022000943.1	motif_16	117	137	none	1.40e-14
XP_022026331.1	motif_16	129	149	none	5.95e-14
XP_022000445.1	motif_16	129	149	none	1.62e-13
XP_021999580.1	motif_16	122	142	none	3.19e-13
XP_022037229.1	motif_16	122	142	none	5.33e-13
XP_021994685.2	motif_16	122	142	none	1.45e-12
XP_021977057.1	motif_16	122	142	none	2.37e-12
XP_022035921.1	motif_16	122	142	none	5.23e-11
XP_022007155.1	motif_16	123	143	none	7.59e-11
XP_035833912.1	motif_17	227	241	none	3.29e-16
XP_022029689.1	motif_17	227	241	none	3.95e-16
XP_022016546.1	motif_17	227	241	none	2.76e-15
XP_021984447.2	motif_17	227	241	none	2.76e-15
XP_021977771.1	motif_17	226	240	none	7.00e-15
XP_022002249.1	motif_17	227	241	none	8.72e-15
XP_022002235.1	motif_17	227	241	none	8.72e-15
XP_022000445.1	motif_17	236	250	none	9.71e-15
XP_021990076.1	motif_17	227	241	none	1.50e-14
XP_022002236.1	motif_17	227	241	none	3.79e-14
XP_022002237.1	motif_17	227	241	none	4.18e-14
XP_021997121.1	motif_17	227	241	none	6.80e-14
XP_021994685.2	motif_17	229	243	none	1.32e-13
XP_022016725.1	motif_17	227	241	none	2.09e-13
XP_022026331.1	motif_17	236	250	none	7.10e-13
XP_021979635.1	motif_17	233	247	none	9.16e-13
XP_022037229.1	motif_17	229	243	none	2.65e-12
XP_022000943.1	motif_17	224	238	none	3.11e-12
XP_021977057.1	motif_17	229	243	none	3.93e-12
XP_021999580.1	motif_17	229	243	none	1.78e-11
XP_022023717.1	motif_18	245	264	none	3.63e-21
XP_021994152.1	motif_18	233	252	none	8.70e-21
XP_021979651.1	motif_18	246	265	none	8.70e-21
XP_021987955.1	motif_18	245	264	none	5.19e-20
XP_022021453.1	motif_18	244	263	none	1.03e-19
XP_022011398.1	motif_18	252	271	none	2.00e-19
XP_022011339.1	motif_18	245	264	none	2.78e-19
XP_022012100.1	motif_18	241	260	none	1.37e-18
XP_021987957.1	motif_18	241	260	none	2.28e-18
XP_021989956.1	motif_18	246	265	none	5.61e-18
XP_022032747.1	motif_18	244	263	none	7.98e-17
XP_021972988.1	motif_18	235	254	none	3.49e-14
XP_022006941.1	motif_18	235	254	none	5.95e-14
XP_022014704.1	motif_18	247	266	none	1.17e-13
XP_022005993.1	motif_19	143	148	none	1.02e-08
XP_022005990.1	motif_19	143	148	none	1.02e-08
XP_022005989.1	motif_19	143	148	none	1.02e-08
XP_035835925.1	motif_19	148	153	none	2.97e-08
XP_035835924.1	motif_19	148	153	none	2.97e-08
XP_035835923.1	motif_19	148	153	none	2.97e-08
XP_035835922.1	motif_19	148	153	none	2.97e-08
XP_035835921.1	motif_19	148	153	none	2.97e-08
XP_035835920.1	motif_19	148	153	none	2.97e-08
XP_035835918.1	motif_19	148	153	none	2.97e-08
XP_035835917.1	motif_19	148	153	none	2.97e-08
XP_035835916.1	motif_19	148	153	none	2.97e-08
XP_035831160.1	motif_19	142	147	none	2.97e-08
XP_022005838.1	motif_19	142	147	none	2.97e-08
XP_021994243.1	motif_19	148	153	none	2.97e-08
XP_021979449.1	motif_19	148	153	none	2.97e-08
XP_021973181.1	motif_19	143	148	none	3.99e-08
XP_021973155.1	motif_19	143	148	none	3.99e-08
XP_021973154.1	motif_19	143	148	none	3.99e-08
XP_021973148.1	motif_19	143	148	none	3.99e-08
XP_021973145.1	motif_19	143	148	none	3.99e-08
XP_021973144.1	motif_19	143	148	none	3.99e-08
XP_021971649.1	motif_19	152	157	none	3.99e-08
XP_021992949.1	motif_19	141	146	none	1.68e-07
XP_021973843.1	motif_19	142	147	none	1.68e-07
XP_022009469.1	motif_19	142	147	none	3.75e-07
XP_021997756.1	motif_19	140	145	none	3.87e-07
XP_022007682.2	motif_19	111	116	none	4.28e-07
XP_035837035.1	motif_19	140	145	none	1.47e-06
XP_022025446.1	motif_19	136	141	none	3.87e-06
XP_021973917.1	motif_19	152	157	none	4.96e-06
XP_021970374.1	motif_20	143	189	none	8.99e-47
XP_022036172.1	motif_20	143	189	none	2.46e-44
XP_022009396.1	motif_20	150	196	none	6.81e-44
XP_021988248.1	motif_20	144	190	none	1.06e-42
XP_022000573.1	motif_20	148	194	none	1.76e-39
XP_021983051.1	motif_20	148	194	none	6.73e-39
