gene_id	protein_id	mrna_id	chromosome	exon_num	exon_start	exon_end	exon_length	strand
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	4	165666994	165668726	1733	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	5	165669284	165669356	73	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	6	165669508	165669640	133	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	7	165669747	165670019	273	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	8	165670437	165670649	213	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	9	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	5	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	6	165669747	165669825	79	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	7	165669929	165670019	91	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980029.1	NC_035443.2	8	165670437	165671445	1009	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	5	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	6	165669747	165669825	79	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	7	165669929	165670019	91	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	8	165670437	165670649	213	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980030.1	NC_035443.2	9	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	5	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	6	165669747	165669825	79	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	7	165669929	165670019	91	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980031.1	NC_035443.2	8	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	5	165669508	165669640	133	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	6	165669747	165669825	79	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	7	165669929	165670019	91	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980032.1	NC_035443.2	8	165670437	165671445	1009	-
gene-LOC110892775	XP_035837035.1	rna-XM_035981142.1	NC_035444.2	1	47043367	47043745	379	+
gene-LOC110892775	XP_035837035.1	rna-XM_035981142.1	NC_035444.2	2	47057797	47058092	296	+
gene-LOC110892775	XP_035837035.1	rna-XM_035981142.1	NC_035444.2	3	47138896	47139036	141	+
gene-LOC110892775	XP_035837035.1	rna-XM_035981142.1	NC_035444.2	4	47139108	47139426	319	+
