gene1	gene2	protein1	protein2	identity	qcov	chr1	chr2	chr1_name	chr2_name	distance_bp	type	aligned_codons	Ka	Ks	Ka_Ks	selection	note
LOC110873151	LOC110899654	XP_021977771.1	XP_022002236.1	84.000	100.0	NC_035440.2	NC_035445.2	Ha8	Ha13	NA	segmental	248	0.0927	1.0886	0.0852	purifying	
LOC110873151	LOC110899655	XP_021977771.1	XP_022002237.1	84.400	100.0	NC_035440.2	NC_035445.2	Ha8	Ha13	NA	segmental	248	0.0906	1.0103	0.0896	purifying	
LOC110873151	LOC110899667	XP_021977771.1	XP_022002249.1	86.000	100.0	NC_035440.2	NC_035445.2	Ha8	Ha13	NA	segmental	248	0.0846	0.8927	0.0947	purifying	
LOC110873151	LOC110916097	XP_021977771.1	XP_022016546.1	89.200	100.0	NC_035440.2	NC_035448.2	Ha8	Ha16	NA	segmental	248	0.0522	0.4988	0.1047	purifying	
LOC110873151	LOC110916291	XP_021977771.1	XP_022016725.1	87.705	99.0	NC_035440.2	NC_035448.2	Ha8	Ha16	NA	segmental	244	0.0663	0.4954	0.1337	purifying	
LOC110873151	LOC110930648	XP_021977771.1	XP_022029689.1	86.400	100.0	NC_035440.2	NC_035435.2	Ha8	Ha3	NA	segmental	248	0.0801	0.8832	0.0907	purifying	
LOC110873151	LOC118479416	XP_021977771.1	XP_035833912.1	79.032	100.0	NC_035440.2	NC_035441.2	Ha8	Ha9	NA	segmental	247	0.1629	1.6673	0.0977	purifying	
LOC110873322	LOC110884546	XP_021977943.1	XP_021987955.1	86.268	100.0	NC_035440.2	NC_035449.2	Ha8	Ha17	NA	segmental	284	0.0782	0.3658	0.2139	purifying	
LOC110873322	LOC110884547	XP_021977943.1	XP_021987957.1	86.972	100.0	NC_035440.2	NC_035449.2	Ha8	Ha17	NA	segmental	280	0.0696	0.4245	0.1639	purifying	
LOC110873322	LOC110886457	XP_021977943.1	XP_021989956.1	77.239	94.0	NC_035440.2	NC_035447.2	Ha8	Ha15	NA	segmental	277	0.1536	0.6693	0.2295	purifying	
LOC110873322	LOC110911072	XP_021977943.1	XP_022011339.1	75.646	95.0	NC_035440.2	NC_035447.2	Ha8	Ha15	NA	segmental	282	0.1848	0.8785	0.2103	purifying	
LOC110873322	LOC110911125	XP_021977943.1	XP_022011398.1	77.985	92.0	NC_035440.2	NC_035447.2	Ha8	Ha15	NA	segmental	284	0.1564	0.8930	0.1752	purifying	
LOC110873322	LOC110923973	XP_021977943.1	XP_022023717.1	78.545	97.0	NC_035440.2	NC_035449.2	Ha8	Ha17	NA	segmental	275	0.1186	0.4898	0.2421	purifying	
LOC110875557	LOC110889695	XP_021979449.1	XP_021992949.1	85.978	95.0	NC_035433.2	NC_035439.2	Ha1	Ha7	NA	segmental	281	0.1199	1.5757	0.0761	purifying	
LOC110875557	LOC110890906	XP_021979449.1	XP_021994243.1	96.886	100.0	NC_035433.2	NC_035443.2	Ha1	Ha11	NA	segmental	289	0.0171	0.6126	0.0279	purifying	
LOC110875557	LOC110895309	XP_021979449.1	XP_021998290.1	84.982	96.0	NC_035433.2	NC_035444.2	Ha1	Ha12	NA	segmental	276	0.1095	1.4908	0.0734	purifying	
LOC110875557	LOC110904303	XP_021979449.1	XP_022005838.1	93.772	100.0	NC_035433.2	NC_035446.2	Ha1	Ha14	NA	segmental	283	0.0271	1.0484	0.0259	purifying	
LOC110875557	LOC110904450	XP_021979449.1	XP_022005989.1	85.121	100.0	NC_035433.2	NC_035446.2	Ha1	Ha14	NA	segmental	284	0.1087	1.6879	0.0644	purifying	
LOC110875557	LOC110904451	XP_021979449.1	XP_022005990.1	84.775	100.0	NC_035433.2	NC_035446.2	Ha1	Ha14	NA	segmental	284	0.1123	1.3654	0.0822	purifying	
LOC110875557	LOC110904457	XP_021979449.1	XP_022005993.1	85.121	100.0	NC_035433.2	NC_035446.2	Ha1	Ha14	NA	segmental	284	0.1119	1.4381	0.0778	purifying	
LOC110875557	LOC110908794	XP_021979449.1	XP_022009469.1	89.619	100.0	NC_035433.2	NC_035439.2	Ha1	Ha7	NA	segmental	283	0.0638	1.0782	0.0592	purifying	
LOC110875557	LOC110908807	XP_021979449.1	XP_035831160.1	84.775	100.0	NC_035433.2	NC_035439.2	Ha1	Ha7	NA	segmental	283	0.0841	1.1835	0.0711	purifying	
LOC110875557	LOC110925968	XP_021979449.1	XP_022025446.1	86.081	96.0	NC_035433.2	NC_035449.2	Ha1	Ha17	NA	segmental	277	0.1227	1.5831	0.0775	purifying	
LOC110875737	LOC110891299	XP_021979635.1	XP_021994685.2	74.089	98.0	NC_035433.2	NC_035443.2	Ha1	Ha11	NA	segmental	250	0.1985	1.8845	0.1053	purifying	
LOC110875737	LOC110898014	XP_021979635.1	XP_022000445.1	74.308	98.0	NC_035433.2	NC_035445.2	Ha1	Ha13	NA	segmental	255	0.1568	1.7972	0.0872	purifying	
LOC110875737	LOC110927047	XP_021979635.1	XP_022026331.1	84.274	98.0	NC_035433.2	NC_035434.2	Ha1	Ha2	NA	segmental	250	0.0935	1.7236	0.0542	purifying	
LOC110875737	LOC110939970	XP_021979635.1	XP_022037229.1	72.000	99.0	NC_035433.2	NC_035437.2	Ha1	Ha5	NA	segmental	251	0.2194	NA	NA	NA	Ks_saturated
LOC110875755	LOC110890809	XP_021979651.1	XP_021994152.1	89.313	95.0	NC_035433.2	NC_035443.2	Ha1	Ha11	NA	segmental	263	0.0619	0.7546	0.0820	purifying	
LOC110880175	LOC110886572	XP_021984447.2	XP_021990076.1	89.919	100.0	NC_035448.2	NC_035442.2	Ha16	Ha10	NA	segmental	248	0.0712	0.8329	0.0854	purifying	
LOC110880175	LOC110894233	XP_021984447.2	XP_021997121.1	89.919	100.0	NC_035448.2	NC_035444.2	Ha16	Ha12	NA	segmental	248	0.0674	0.9598	0.0702	purifying	
LOC110880175	LOC110899653	XP_021984447.2	XP_022002235.1	77.912	99.0	NC_035448.2	NC_035445.2	Ha16	Ha13	NA	segmental	248	0.1631	1.8179	0.0897	purifying	
LOC110880175	LOC110899654	XP_021984447.2	XP_022002236.1	77.510	99.0	NC_035448.2	NC_035445.2	Ha16	Ha13	NA	segmental	248	0.1643	2.0722	0.0793	purifying	
LOC110880175	LOC110899655	XP_021984447.2	XP_022002237.1	77.912	99.0	NC_035448.2	NC_035445.2	Ha16	Ha13	NA	segmental	248	0.1642	2.3928	0.0686	purifying	
LOC110880175	LOC110899667	XP_021984447.2	XP_022002249.1	78.313	99.0	NC_035448.2	NC_035445.2	Ha16	Ha13	NA	segmental	248	0.1622	1.8871	0.0859	purifying	
LOC110880175	LOC110916097	XP_021984447.2	XP_022016546.1	80.321	99.0	NC_035448.2	NC_035448.2	Ha16	Ha16	85729563	segmental	248	0.1574	1.9229	0.0819	purifying	
LOC110880175	LOC110916291	XP_021984447.2	XP_022016725.1	79.508	99.0	NC_035448.2	NC_035448.2	Ha16	Ha16	85694435	segmental	245	0.1631	2.3582	0.0692	purifying	
LOC110880175	LOC110930648	XP_021984447.2	XP_022029689.1	79.518	99.0	NC_035448.2	NC_035435.2	Ha16	Ha3	NA	segmental	248	0.1550	1.7944	0.0864	purifying	
LOC110880175	LOC118479416	XP_021984447.2	XP_035833912.1	94.355	100.0	NC_035448.2	NC_035441.2	Ha16	Ha9	NA	segmental	248	0.0337	0.5314	0.0633	purifying	
LOC110881936	LOC110885224	XP_035834143.1	XP_035834144.1	81.481	100.0	NC_035442.2	NC_035442.2	Ha10	Ha10	223452	proximal	322	0.1053	0.3656	0.2879	purifying	
LOC110884546	LOC110884547	XP_021987955.1	XP_021987957.1	89.085	100.0	NC_035449.2	NC_035449.2	Ha17	Ha17	53237	tandem	280	0.0516	0.3145	0.1640	purifying	
LOC110884546	LOC110886457	XP_021987955.1	XP_021989956.1	77.174	97.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	277	0.1408	0.5674	0.2482	purifying	
LOC110884546	LOC110911072	XP_021987955.1	XP_022011339.1	74.729	98.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	283	0.1885	0.8997	0.2095	purifying	
LOC110884546	LOC110911125	XP_021987955.1	XP_022011398.1	76.241	97.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	284	0.1529	0.9338	0.1638	purifying	
LOC110884546	LOC110923973	XP_021987955.1	XP_022023717.1	79.273	97.0	NC_035449.2	NC_035449.2	Ha17	Ha17	271013	proximal	275	0.1157	0.4590	0.2520	purifying	
LOC110884547	LOC110886457	XP_021987957.1	XP_021989956.1	80.451	93.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	273	0.1325	0.5640	0.2350	purifying	
LOC110884547	LOC110911072	XP_021987957.1	XP_022011339.1	74.539	95.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	280	0.1972	0.7232	0.2727	purifying	
LOC110884547	LOC110911125	XP_021987957.1	XP_022011398.1	78.707	90.0	NC_035449.2	NC_035447.2	Ha17	Ha15	NA	segmental	279	0.1567	0.9507	0.1649	purifying	
LOC110884547	LOC110923973	XP_021987957.1	XP_022023717.1	81.181	95.0	NC_035449.2	NC_035449.2	Ha17	Ha17	217776	proximal	271	0.1056	0.5082	0.2077	purifying	
LOC110886457	LOC110911072	XP_021989956.1	XP_022011339.1	75.090	99.0	NC_035447.2	NC_035447.2	Ha15	Ha15	190592	tandem	277	0.1503	0.4301	0.3495	purifying	
LOC110886457	LOC110911125	XP_021989956.1	XP_022011398.1	81.343	91.0	NC_035447.2	NC_035447.2	Ha15	Ha15	124763	tandem	277	0.1310	0.5238	0.2502	purifying	
LOC110886457	LOC110923973	XP_021989956.1	XP_022023717.1	71.377	99.0	NC_035447.2	NC_035449.2	Ha15	Ha17	NA	segmental	275	0.1754	0.6704	0.2616	purifying	
LOC110886572	LOC110894233	XP_021990076.1	XP_021997121.1	91.532	100.0	NC_035442.2	NC_035444.2	Ha10	Ha12	NA	segmental	248	0.0490	0.4764	0.1028	purifying	
LOC110886572	LOC110899653	XP_021990076.1	XP_022002235.1	77.510	99.0	NC_035442.2	NC_035445.2	Ha10	Ha13	NA	segmental	248	0.1696	1.6082	0.1055	purifying	
LOC110886572	LOC110899654	XP_021990076.1	XP_022002236.1	77.108	99.0	NC_035442.2	NC_035445.2	Ha10	Ha13	NA	segmental	248	0.1699	2.0240	0.0839	purifying	
LOC110886572	LOC110899655	XP_021990076.1	XP_022002237.1	77.510	99.0	NC_035442.2	NC_035445.2	Ha10	Ha13	NA	segmental	248	0.1688	2.0753	0.0813	purifying	
LOC110886572	LOC110899667	XP_021990076.1	XP_022002249.1	77.510	99.0	NC_035442.2	NC_035445.2	Ha10	Ha13	NA	segmental	248	0.1686	1.6607	0.1015	purifying	
LOC110886572	LOC110916097	XP_021990076.1	XP_022016546.1	78.313	99.0	NC_035442.2	NC_035448.2	Ha10	Ha16	NA	segmental	248	0.1796	1.6049	0.1119	purifying	
LOC110886572	LOC110916291	XP_021990076.1	XP_022016725.1	77.869	99.0	NC_035442.2	NC_035448.2	Ha10	Ha16	NA	segmental	245	0.1768	1.9048	0.0928	purifying	
LOC110886572	LOC110930648	XP_021990076.1	XP_022029689.1	76.305	99.0	NC_035442.2	NC_035435.2	Ha10	Ha3	NA	segmental	248	0.1823	1.8966	0.0961	purifying	
LOC110886572	LOC118479416	XP_021990076.1	XP_035833912.1	87.500	100.0	NC_035442.2	NC_035441.2	Ha10	Ha9	NA	segmental	248	0.0872	0.7661	0.1139	purifying	
LOC110889695	LOC110890906	XP_021992949.1	XP_035835925.1	84.452	99.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	281	0.1199	1.8981	0.0632	purifying	
LOC110889695	LOC110894830	XP_021992949.1	XP_021997756.1	83.275	100.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1007	1.0292	0.0979	purifying	
LOC110889695	LOC110904303	XP_021992949.1	XP_022005838.1	85.159	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	281	0.1118	1.3459	0.0831	purifying	
LOC110889695	LOC110904450	XP_021992949.1	XP_022005989.1	83.099	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	281	0.1273	2.7704	0.0459	purifying	
LOC110889695	LOC110904451	XP_021992949.1	XP_022005990.1	85.978	95.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	281	0.1248	NA	NA	NA	Ks_saturated
LOC110889695	LOC110904457	XP_021992949.1	XP_022005993.1	83.803	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	281	0.1206	2.1360	0.0565	purifying	
LOC110889695	LOC110908794	XP_021992949.1	XP_022009469.1	86.296	95.0	NC_035439.2	NC_035439.2	Ha7	Ha7	18502901	segmental	281	0.1174	1.3063	0.0899	purifying	
LOC110890906	LOC110892775	XP_035835925.1	XP_035837035.1	74.394	99.0	NC_035443.2	NC_035444.2	Ha11	Ha12	NA	segmental	281	0.1628	1.6408	0.0992	purifying	
LOC110890906	LOC110894830	XP_035835925.1	XP_021997756.1	80.623	99.0	NC_035443.2	NC_035444.2	Ha11	Ha12	NA	segmental	281	0.1216	1.8379	0.0662	purifying	
LOC110890906	LOC110895309	XP_035835925.1	XP_021998290.1	85.348	96.0	NC_035443.2	NC_035444.2	Ha11	Ha12	NA	segmental	277	0.1173	1.5517	0.0756	purifying	
LOC110890906	LOC110897890	XP_035835925.1	XP_022000317.1	73.063	92.0	NC_035443.2	NC_035445.2	Ha11	Ha13	NA	segmental	276	0.2108	1.5977	0.1319	purifying	
LOC110890906	LOC110899589	XP_035835925.1	XP_022002167.1	72.694	92.0	NC_035443.2	NC_035445.2	Ha11	Ha13	NA	segmental	276	0.2203	1.6982	0.1297	purifying	
LOC110890906	LOC110899592	XP_035835925.1	XP_022002168.1	72.694	92.0	NC_035443.2	NC_035445.2	Ha11	Ha13	NA	segmental	276	0.2203	1.6982	0.1297	purifying	
LOC110890906	LOC110904303	XP_035835925.1	XP_022005838.1	93.772	100.0	NC_035443.2	NC_035446.2	Ha11	Ha14	NA	segmental	283	0.0263	1.0721	0.0246	purifying	
LOC110890906	LOC110904450	XP_035835925.1	XP_022005989.1	86.851	100.0	NC_035443.2	NC_035446.2	Ha11	Ha14	NA	segmental	284	0.1008	1.2350	0.0816	purifying	
LOC110890906	LOC110904451	XP_035835925.1	XP_022005990.1	86.505	100.0	NC_035443.2	NC_035446.2	Ha11	Ha14	NA	segmental	284	0.1044	1.2599	0.0829	purifying	
LOC110890906	LOC110904457	XP_035835925.1	XP_022005993.1	86.851	100.0	NC_035443.2	NC_035446.2	Ha11	Ha14	NA	segmental	284	0.1041	1.3503	0.0771	purifying	
LOC110890906	LOC110904925	XP_035835925.1	XP_022006482.1	73.408	91.0	NC_035443.2	NC_035446.2	Ha11	Ha14	NA	segmental	275	0.2163	2.3219	0.0932	purifying	
LOC110890906	LOC110906934	XP_035835925.1	XP_022007682.2	74.380	94.0	NC_035443.2	NC_035434.2	Ha11	Ha2	NA	segmental	248	0.1816	2.3805	0.0763	purifying	
LOC110890906	LOC110908794	XP_021994243.1	XP_022009469.1	88.927	100.0	NC_035443.2	NC_035439.2	Ha11	Ha7	NA	segmental	283	0.0639	1.3859	0.0461	purifying	
LOC110890906	LOC110908807	XP_035835925.1	XP_035831160.1	85.121	100.0	NC_035443.2	NC_035439.2	Ha11	Ha7	NA	segmental	283	0.0807	1.3542	0.0596	purifying	
LOC110890906	LOC110923014	XP_035835925.1	XP_022022901.1	73.432	92.0	NC_035443.2	NC_035449.2	Ha11	Ha17	NA	segmental	276	0.2025	1.4800	0.1368	purifying	
LOC110890906	LOC110925968	XP_035835925.1	XP_022025446.1	85.714	96.0	NC_035443.2	NC_035449.2	Ha11	Ha17	NA	segmental	277	0.1222	1.3790	0.0886	purifying	
LOC110890906	LOC110930503	XP_035835925.1	XP_022029508.1	73.063	92.0	NC_035443.2	NC_035435.2	Ha11	Ha3	NA	segmental	276	0.2199	NA	NA	NA	Ks_saturated
LOC110890906	LOC110937325	XP_035835925.1	XP_022035417.1	73.063	92.0	NC_035443.2	NC_035434.2	Ha11	Ha2	NA	segmental	276	0.2183	1.6288	0.1340	purifying	
LOC110890906	LOC110937328	XP_035835925.1	XP_022035419.1	71.111	92.0	NC_035443.2	NC_035434.2	Ha11	Ha2	NA	segmental	277	0.2409	1.5505	0.1554	purifying	
LOC110891299	LOC110927047	XP_021994685.2	XP_022026331.1	73.469	97.0	NC_035443.2	NC_035434.2	Ha11	Ha2	NA	segmental	246	0.1983	1.2632	0.1570	purifying	
LOC110891299	LOC110939970	XP_021994685.2	XP_022037229.1	73.600	99.0	NC_035443.2	NC_035437.2	Ha11	Ha5	NA	segmental	250	0.2071	1.7778	0.1165	purifying	
LOC110892775	LOC110894830	XP_035837035.1	XP_021997756.1	90.493	100.0	NC_035444.2	NC_035444.2	Ha12	Ha12	3461028	segmental	284	0.0452	0.0842	0.5368	purifying	
LOC110892775	LOC110904303	XP_035837035.1	XP_022005838.1	76.678	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1589	2.2681	0.0700	purifying	
LOC110892775	LOC110904450	XP_035837035.1	XP_022005989.1	76.056	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1614	2.2167	0.0728	purifying	
LOC110892775	LOC110904451	XP_035837035.1	XP_022005990.1	76.408	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1588	2.2476	0.0707	purifying	
LOC110892775	LOC110904457	XP_035837035.1	XP_022005993.1	76.761	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1545	1.9664	0.0786	purifying	
LOC110894233	LOC110899653	XP_021997121.1	XP_022002235.1	77.108	100.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	248	0.1733	1.9417	0.0893	purifying	
LOC110894233	LOC110899654	XP_021997121.1	XP_022002236.1	77.108	99.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	248	0.1707	2.5973	0.0657	purifying	
LOC110894233	LOC110899655	XP_021997121.1	XP_022002237.1	77.108	99.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	248	0.1700	3.1833	0.0534	purifying	
LOC110894233	LOC110899667	XP_021997121.1	XP_022002249.1	77.108	100.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	248	0.1735	1.8558	0.0935	purifying	
LOC110894233	LOC110916097	XP_021997121.1	XP_022016546.1	78.313	99.0	NC_035444.2	NC_035448.2	Ha12	Ha16	NA	segmental	248	0.1787	3.5704	0.0501	purifying	
LOC110894233	LOC110916291	XP_021997121.1	XP_022016725.1	78.279	99.0	NC_035444.2	NC_035448.2	Ha12	Ha16	NA	segmental	245	0.1724	3.2002	0.0539	purifying	
LOC110894233	LOC110930648	XP_021997121.1	XP_022029689.1	77.108	100.0	NC_035444.2	NC_035435.2	Ha12	Ha3	NA	segmental	248	0.1768	3.4097	0.0519	purifying	
LOC110894233	LOC118479416	XP_021997121.1	XP_035833912.1	90.726	100.0	NC_035444.2	NC_035441.2	Ha12	Ha9	NA	segmental	248	0.0613	0.9515	0.0644	purifying	
LOC110894830	LOC110895309	XP_021997756.1	XP_021998290.1	77.385	100.0	NC_035444.2	NC_035444.2	Ha12	Ha12	26959001	segmental	279	0.1618	2.3196	0.0698	purifying	
LOC110894830	LOC110904303	XP_021997756.1	XP_022005838.1	83.392	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1179	3.3006	0.0357	purifying	
LOC110894830	LOC110904450	XP_021997756.1	XP_022005989.1	82.394	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1287	1.9997	0.0644	purifying	
LOC110894830	LOC110904451	XP_021997756.1	XP_022005990.1	82.746	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1262	1.9556	0.0645	purifying	
LOC110894830	LOC110904457	XP_021997756.1	XP_022005993.1	83.099	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	281	0.1221	1.8589	0.0657	purifying	
LOC110894830	LOC110925968	XP_021997756.1	XP_022025446.1	77.385	100.0	NC_035444.2	NC_035449.2	Ha12	Ha17	NA	segmental	279	0.1692	2.4649	0.0686	purifying	
LOC110895309	LOC110897890	XP_021998290.1	XP_022000317.1	72.593	94.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	271	0.2223	2.3424	0.0949	purifying	
LOC110895309	LOC110899589	XP_021998290.1	XP_022002167.1	72.593	94.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	271	0.2247	1.9085	0.1177	purifying	
LOC110895309	LOC110899592	XP_021998290.1	XP_022002168.1	72.593	94.0	NC_035444.2	NC_035445.2	Ha12	Ha13	NA	segmental	271	0.2247	1.9085	0.1177	purifying	
LOC110895309	LOC110904303	XP_021998290.1	XP_022005838.1	81.560	99.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	277	0.1302	1.6121	0.0808	purifying	
LOC110895309	LOC110904450	XP_021998290.1	XP_022005989.1	80.220	96.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	275	0.1567	1.4569	0.1075	purifying	
LOC110895309	LOC110904457	XP_021998290.1	XP_022005993.1	80.952	96.0	NC_035444.2	NC_035446.2	Ha12	Ha14	NA	segmental	275	0.1479	1.3795	0.1072	purifying	
LOC110895309	LOC110908794	XP_021998290.1	XP_022009469.1	80.851	99.0	NC_035444.2	NC_035439.2	Ha12	Ha7	NA	segmental	277	0.1415	2.2579	0.0627	purifying	
LOC110895309	LOC110925968	XP_021998290.1	XP_022025446.1	92.115	100.0	NC_035444.2	NC_035449.2	Ha12	Ha17	NA	segmental	279	0.0434	0.7377	0.0588	purifying	
LOC110895309	LOC110930503	XP_021998290.1	XP_022029508.1	72.593	94.0	NC_035444.2	NC_035435.2	Ha12	Ha3	NA	segmental	271	0.2204	3.7104	0.0594	purifying	
LOC110895309	LOC110937325	XP_021998290.1	XP_022035417.1	72.593	94.0	NC_035444.2	NC_035434.2	Ha12	Ha2	NA	segmental	271	0.2251	1.9241	0.1170	purifying	
LOC110895309	LOC110937328	XP_021998290.1	XP_022035419.1	74.319	90.0	NC_035444.2	NC_035434.2	Ha12	Ha2	NA	segmental	271	0.2313	1.8555	0.1246	purifying	
LOC110896719	LOC110927047	XP_021999580.1	XP_022026331.1	71.429	86.0	NC_035444.2	NC_035434.2	Ha12	Ha2	NA	segmental	246	0.2293	2.4365	0.0941	purifying	
LOC110896719	LOC110939970	XP_021999580.1	XP_022037229.1	70.635	100.0	NC_035444.2	NC_035437.2	Ha12	Ha5	NA	segmental	250	0.1996	1.7126	0.1166	purifying	
LOC110897890	LOC110899589	XP_022000317.1	XP_022002167.1	97.909	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	90225458	segmental	287	0.0192	0.4988	0.0384	purifying	
LOC110897890	LOC110899592	XP_022000317.1	XP_022002168.1	97.909	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	90238401	segmental	287	0.0192	0.4988	0.0384	purifying	
LOC110897890	LOC110904925	XP_022000317.1	XP_022006482.1	89.895	99.0	NC_035445.2	NC_035446.2	Ha13	Ha14	NA	segmental	286	0.0824	NA	NA	NA	Ks_saturated
LOC110897890	LOC110923014	XP_022000317.1	XP_022022901.1	97.561	100.0	NC_035445.2	NC_035449.2	Ha13	Ha17	NA	segmental	287	0.0272	0.5801	0.0468	purifying	
LOC110897890	LOC110930503	XP_022000317.1	XP_022029508.1	95.470	100.0	NC_035445.2	NC_035435.2	Ha13	Ha3	NA	segmental	287	0.0336	0.5688	0.0591	purifying	
LOC110897890	LOC110937325	XP_022000317.1	XP_022035417.1	96.516	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0240	0.3557	0.0674	purifying	
LOC110897890	LOC110937328	XP_022000317.1	XP_022035419.1	92.334	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0429	0.3292	0.1304	purifying	
LOC110897890	LOC118481678	XP_022000317.1	XP_035832764.1	74.825	99.0	NC_035445.2	NC_035441.2	Ha13	Ha9	NA	segmental	286	0.1857	NA	NA	NA	Ks_saturated
LOC110898014	LOC110927047	XP_022000445.1	XP_022026331.1	84.190	98.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	253	0.0839	0.9101	0.0922	purifying	
LOC110899589	LOC110899592	XP_022002167.1	XP_022002168.1	100.000	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	12943	tandem	287	0.0000	0.0000	NA	NA	Ks_zero
LOC110899589	LOC110904925	XP_022002167.1	XP_022006482.1	90.244	99.0	NC_035445.2	NC_035446.2	Ha13	Ha14	NA	segmental	286	0.0760	NA	NA	NA	Ks_saturated
LOC110899589	LOC110923014	XP_022002167.1	XP_022022901.1	96.167	100.0	NC_035445.2	NC_035449.2	Ha13	Ha17	NA	segmental	287	0.0283	0.6316	0.0448	purifying	
LOC110899589	LOC110930503	XP_022002167.1	XP_022029508.1	96.864	100.0	NC_035445.2	NC_035435.2	Ha13	Ha3	NA	segmental	287	0.0204	0.3522	0.0578	purifying	
LOC110899589	LOC110937325	XP_022002167.1	XP_022035417.1	96.516	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0267	0.5699	0.0468	purifying	
LOC110899589	LOC110937328	XP_022002167.1	XP_022035419.1	92.334	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0453	0.5474	0.0827	purifying	
LOC110899589	LOC118481678	XP_022002167.1	XP_035832764.1	75.175	99.0	NC_035445.2	NC_035441.2	Ha13	Ha9	NA	segmental	286	0.1818	NA	NA	NA	Ks_saturated
LOC110899592	LOC110904925	XP_022002168.1	XP_022006482.1	90.244	99.0	NC_035445.2	NC_035446.2	Ha13	Ha14	NA	segmental	286	0.0760	NA	NA	NA	Ks_saturated
LOC110899592	LOC110923014	XP_022002168.1	XP_022022901.1	96.167	100.0	NC_035445.2	NC_035449.2	Ha13	Ha17	NA	segmental	287	0.0283	0.6316	0.0448	purifying	
LOC110899592	LOC110930503	XP_022002168.1	XP_022029508.1	96.864	100.0	NC_035445.2	NC_035435.2	Ha13	Ha3	NA	segmental	287	0.0204	0.3522	0.0578	purifying	
LOC110899592	LOC110937325	XP_022002168.1	XP_022035417.1	96.516	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0267	0.5699	0.0468	purifying	
LOC110899592	LOC110937328	XP_022002168.1	XP_022035419.1	92.334	100.0	NC_035445.2	NC_035434.2	Ha13	Ha2	NA	segmental	287	0.0453	0.5474	0.0827	purifying	
LOC110899592	LOC118481678	XP_022002168.1	XP_035832764.1	75.175	99.0	NC_035445.2	NC_035441.2	Ha13	Ha9	NA	segmental	286	0.1818	NA	NA	NA	Ks_saturated
LOC110899653	LOC110899654	XP_022002235.1	XP_022002236.1	97.600	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	14999	tandem	250	0.0119	0.4273	0.0278	purifying	
LOC110899653	LOC110899655	XP_022002235.1	XP_022002237.1	98.000	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	87637	tandem	250	0.0091	0.4328	0.0210	purifying	
LOC110899653	LOC110899667	XP_022002235.1	XP_022002249.1	99.200	100.0	NC_035445.2	NC_035445.2	Ha13	Ha13	147842	tandem	250	0.0036	0.0629	0.0579	purifying	
LOC110899653	LOC110916097	XP_022002235.1	XP_022016546.1	88.800	100.0	NC_035445.2	NC_035448.2	Ha13	Ha16	NA	segmental	250	0.0725	0.7945	0.0912	purifying	
